band,location,bandcamp_url,genre,tags
Manasido,California,https://manasido.bandcamp.com,Alternative,"rock, indie, Alternative, grunge, alternative rock"
Hot Plug,"Córdoba, Argentina",https://hotplugproducciones.bandcamp.com,Hip-Hop/Rap,"Electronic, Hip Hop, R&B, Trap, dancehall, Hip-Hop/Rap"
Burnout,"Phoenix, Arizona",https://burnout.bandcamp.com,Punk,"hardcore, arizona, noise, metal, Punk, power violence"
Pegboy,"Chicago, Illinois",https://pegboy.bandcamp.com,Alternative,"Alternative, alternative rock"
Rhythm Collision,"Kelowna, British Columbia",https://conroyrossandrhythmcollision.bandcamp.com,Rock,Rock
Loud Graves,"Oakland, California",https://loudgraves.bandcamp.com,Punk,"Pop Punk, Punk, alternative rock"
Strangelight,"Oakland, California",https://strangelightoakland.bandcamp.com,Rock,"punk rock, post-punk, garage rock, Rock"
Samiam,,,,
SMOKERS,"Oakland, California",https://smokers.bandcamp.com,Punk,"Detached-Garage, Garage, Proto-Punk, Punk, Pub Rock, Rock"
badvril,"San Francisco, California",https://badvril.bandcamp.com,Alternative,"rock, indie, Alternative, dream pop, dreamo, shoegaze"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
Half Calf,"Santa Cruz, California",https://halfcalf.bandcamp.com,Alternative,"queer, Alternative, emo, dreamo"
Colonel Macabre,"San Jose, California",https://colonelmacabre.bandcamp.com,Alternative,"alternative, folk, Alternative, San Jose, emo"
Arnocorps,"San Francisco, California",https://arnocorps.bandcamp.com,Punk,"hardcore, punk, rock, hardcore, hardcore, punk, rock, hardcore, punk, Punk"
Party Force,"Oakland, California",https://partyforce.bandcamp.com,Punk,"drunk-n-roll, family friendly, Punk, hardcore punk"
Shark in the Water,"Oakland, California",https://sharkinthewater.bandcamp.com,Rock,"Rock, Surf Rock, Hard Rock, surf"
Crimson Riot,"Las Vegas, Nevada",https://crimsonriot.bandcamp.com,Punk,"Pop Punk, Punk"
Planet Booty,California,https://planetbooty.bandcamp.com,Pop,"dance, Nu Disco, booty, R&B, talkbox, Pop"
The Maraschinos,,,,
Stay Out,California,https://stayout.bandcamp.com,Punk,"Pop Punk, Alternative, Punk, Punk Rock"
Opus,Romania,https://opussnd.bandcamp.com,Electronic,"Minimal, Microhouse, Deep Tech, Techno, Deep House, Electronic"
Beau Navire,"Oakland, California",https://beaunavire.bandcamp.com,Ambient,"emoviolence, hardcore, Ambient, flowerviolence, post-punk, emo"
Nuvolascura,"Los Angeles, California",https://nuvolascura.bandcamp.com,Punk,"hardcore, Los Angeles, Punk, sacrificial art"
Mau,"Los Angeles, California",https://mau5trap.bandcamp.com,,
With Open Arms,"Kent, UK",https://withopenarmsbanduk.bandcamp.com,Metal,"Metal, melodic hardcore, metallic hardcore, Metalcore, hardcore"
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Earth Crisis,"Syracuse, New York",https://earthcrisis.bandcamp.com,Metal,"Metal, straight edge, Hardcore, xvx, vegan"
Integrity,Belgium,https://integrity.bandcamp.com,Metal,"aaron melnick, hardcore, Metal, dwid hellion, Holy Terror, Integrity"
Judge,"New York, New York",https://judge.bandcamp.com,Punk,"punk rock, hardcore, punk, hardcore punk, Punk, straight edge"
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
Yungatita,"Los Angeles, California",https://yungatita.bandcamp.com,Alternative,"indie rock, rock, indie, Alternative, pop rock"
Mypilotis,"San Antonio, Texas",https://mypilotis.bandcamp.com,Alternative,"indie, indie pop, indiepop, indie rock, Alternative, Indie Pop Rock"
The Treedome,"Los Angeles, California",https://thetreedome.bandcamp.com,Alternative,Alternative
Mala Greña,,,,
TRIVIA NIGHT & DJ OLIVER TWISTED,"Columbia, Missouri",https://trivianight.bandcamp.com,Experimental,"nice guy noise, power electronics, Experimental, Noise, good guy noise"
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,,,,
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,,,,
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,,,,
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
Mala Greña,,,,
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
Witness Chamber,,,,
Witness Chamber,,,,
Crunek Fest 3 Night One: Giveaway,,,,
DAMAGED PARTY,"Portland, Oregon",https://partydamage.bandcamp.com,Experimental,"Experimental, indie pop, portland, pdxmusic, pdx, dream pop"
CHERRYBOMB MARKET,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,,,,
The Rose Haze,California,https://rosehaze.bandcamp.com,Alternative,"psychedelic, electronic, shoegaze, experimental electronic, dream pop, Alternative"
Davia Schendel,,,,
Izzy Outerspace,"Los Angeles, California",https://izzyouterspace.bandcamp.com,Alternative,"Alternative, singer songwriter, solo female artist, alternative rock"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
ELLA PENNEWELL,,,,
DROUTH AT ELI'S MILE HIGH CLUB,,,,
SODOMY,"San Jose, California",https://sodomy408.bandcamp.com,Metal,"Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal"
ALDWIN LONDON BAND,,,,
KARAOKE AT ELI'S,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
Samiam,"Brooklyn, New York",https://itssamiam.bandcamp.com,Devotional,"Gospel, Devotional"
MATHCORE INDEX FEST DAY 1,,,,
MATHCORE INDEX FEST DAY 2,,,,
Dance Myth (Dan Smith of Listener),,,,
Derek Zanetti (The Homeless Gospel Choir),,,,
The Maraschinos,,,,
Sell The Heart Records 15th Anniversary (Night 1),,,,
Sell The Heart Records 15th Anniversary (Night 2),,,,
924 Gilman Presents Beach Fossils,,,,
CHERRYBOMB MARKET,,,,
taxi,"Chicago, Illinois",https://amtaximusic.bandcamp.com,Rock,"punk rock, Rock & Roll, Soul, indie rock, Rock, alternative rock"
pocket full of crumbs,"San Francisco, California",https://pocketfullofcrumbs.bandcamp.com,Rock,"limp bizkit, San Francisco, rock-roll, Rock"
first day back,,,,
Melodies of Love 5/30,,,,
Istanbul Connection,,,,
Freakyoke 6/1,,,,
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
PLATTENBAU,"Berlin, Germany",https://plattenbau.bandcamp.com,Punk,"post-punk, Berlin, no wave, indie, noise pop, Punk"
CASUAL HEX,"Seattle, Washington",https://casualhex.bandcamp.com,Punk,"post-punk, Punk"
Oakland First Friday w/ Lower Grand Radio,,,,
Amity St,"San Francisco, California",https://amityst.bandcamp.com,Rock,"mathrock, midwest emo, Rock"
Celadon,,https://celadonplaza.bandcamp.com,Electronic,"vaporwave, Electronic"
Typoe,"San Francisco, California",https://typoe.bandcamp.com,Rock,"Mathrock, Alternative, post-rock, Emo, Math, Rock"
Poser Emo,"Oakland, California",https://poseremo.bandcamp.com,Alternative,"alternative rock, midwest emo, pop punk, Alternative, mathrock"
DFL AT ELI'S MILE HIGH CLUB,,,,
Velvet Club w/ Louie El Ser,,,,
Quetzal,"Los Angeles, California",https://quetzal-la.bandcamp.com,Latin,"Latin, chicano rock, indie rock"
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Caveman,"Brooklyn, New York",https://caveman.bandcamp.com,Alternative,"New Wave, Noise, Alternative, Jam band"
Davia Schendel,"San Francisco, California",https://daviaschendel.bandcamp.com,Rock,"singer-songwriter, Rock, indie rock"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
comedy,New Jersey,https://comedyminusone.bandcamp.com,,
ELLA PENNEWELL,,,,
Doghouse,,,,
Gramma,"Minneapolis, Minnesota",https://gramma.bandcamp.com,Punk,"indie, Alternative, emo, Punk"
